Flex1,Flex2,Flex3,Flex4,Flex5,Label
403,56,222,218,243,3.5
403,57,223,219,242,3.5
400,56,223,218,242,3.5
400,54,222,218,242,3.5
400,54,222,219,241,3.5
400,54,221,218,240,3.5
401,55,222,218,240,3.5
402,56,222,217,241,3.5
401,58,223,219,241,3.5
403,56,222,219,240,3.5
399,55,224,219,241,3.5
400,56,221,218,240,3.5
399,56,221,219,241,3.5
401,56,220,218,242,3.5
401,56,220,217,241,3.5
400,56,220,218,241,3.5
402,56,221,218,241,3.5
403,55,221,220,241,3.5
399,54,221,219,242,3.5
399,56,220,221,242,3.5
400,55,221,219,241,3.5
402,55,221,219,240,3.5
402,57,221,220,243,3.5
403,56,221,218,243,3.5
403,55,221,211,242,3.5
402,54,222,210,242,3.5
403,54,222,209,243,3.5
401,55,220,208,242,3.5
402,55,221,206,241,3.5
402,56,220,206,242,3.5
403,56,221,206,241,3.5
400,56,221,210,243,3.5
401,58,222,209,247,3.5
403,54,223,209,243,3.5
402,56,222,208,243,3.5
402,57,221,206,243,3.5
401,53,222,207,244,3.5
401,56,220,206,246,3.5
400,57,221,204,245,3.5
401,56,221,206,246,3.5
404,56,222,206,249,3.5
402,57,221,206,248,3.5
402,56,221,208,248,3.5
403,55,220,207,249,3.5
400,55,220,206,247,3.5
400,57,220,206,246,3.5
403,57,219,206,246,3.5
406,57,220,206,248,3.5
403,55,220,206,247,3.5
403,56,220,204,247,3.5
404,57,221,206,247,3.5
403,58,221,207,246,3.5
401,54,221,206,247,3.5
402,58,221,206,248,3.5
403,58,220,206,247,3.5
404,57,220,206,248,3.5
400,54,221,207,247,3.5
400,57,220,208,247,3.5
401,54,219,207,246,3.5
403,54,219,207,247,3.5
406,56,220,206,247,3.5
403,56,220,207,246,3.5
405,55,220,207,247,3.5
403,55,220,208,247,3.5
403,56,220,208,246,3.5
402,56,220,207,247,3.5
403,57,220,207,246,3.5
403,57,221,205,245,3.5
400,56,220,207,248,3.5
399,55,220,205,248,3.5
400,56,221,205,247,3.5
399,56,220,206,247,3.5
402,57,220,205,247,3.5
401,57,221,206,248,3.5
400,55,221,207,247,3.5
404,57,221,207,248,3.5
401,55,221,207,248,3.5
402,55,220,206,247,3.5
403,54,219,206,247,3.5
398,54,221,206,247,3.5
403,55,219,205,248,3.5
404,56,220,206,249,3.5
405,54,222,207,248,3.5
403,55,220,206,248,3.5
404,56,221,206,248,3.5
399,55,221,205,248,3.5
400,57,220,206,249,3.5
401,58,220,206,247,3.5
400,56,220,206,247,3.5
403,56,220,205,246,3.5
403,55,222,204,246,3.5
403,56,221,204,246,3.5
403,55,221,205,247,3.5
401,55,222,206,247,3.5
399,54,221,205,247,3.5
401,55,220,206,245,3.5
403,54,221,204,244,3.5
401,57,222,203,247,3.5
402,55,220,204,244,3.5
403,54,221,203,245,3.5
404,54,222,203,246,3.5
403,55,221,203,247,3.5
401,56,221,204,246,3.5
402,54,221,206,245,3.5
399,54,220,205,247,3.5
401,54,220,204,247,3.5
402,55,221,205,247,3.5
402,55,222,205,247,3.5
401,57,222,206,248,3.5
403,56,221,209,247,3.5
400,57,222,215,247,3.5
401,57,222,220,248,3.5
401,55,222,216,248,3.5
402,56,220,206,247,3.5
401,55,220,208,247,3.5
402,57,221,210,246,3.5
400,56,222,212,248,3.5
403,56,222,209,247,3.5
402,57,221,211,247,3.5
403,55,222,214,248,3.5
403,53,220,210,247,3.5
400,55,222,210,248,3.5
401,54,220,209,245,3.5
402,55,221,210,247,3.5
403,55,221,210,247,3.5
404,55,221,211,247,3.5
402,55,222,211,247,3.5
399,54,220,211,247,3.5
401,56,221,210,247,3.5
400,56,223,211,248,3.5
401,54,221,211,247,3.5
400,54,221,211,247,3.5
401,55,222,211,247,3.5
403,54,223,211,247,3.5
403,57,222,210,247,3.5
402,55,222,211,246,3.5
401,54,223,212,246,3.5
399,56,220,211,247,3.5
405,55,221,210,246,3.5
402,55,222,212,246,3.5
403,57,222,212,247,3.5
403,57,221,211,247,3.5
401,58,220,209,247,3.5
401,56,220,210,247,3.5
403,56,220,210,248,3.5
398,56,221,210,249,3.5
401,56,220,211,248,3.5
404,55,220,210,248,3.5
405,56,222,209,248,3.5
403,54,222,212,247,3.5
400,56,221,209,247,3.5
402,56,220,211,248,3.5
406,55,220,211,248,3.5
402,57,223,211,248,3.5
403,55,223,211,248,3.5
399,57,221,211,246,3.5
403,54,221,208,248,3.5
403,54,220,209,247,3.5
403,55,220,209,247,3.5
403,56,222,211,249,3.5
400,56,221,210,247,3.5
405,57,221,209,246,3.5
403,57,222,209,247,3.5
400,56,222,211,246,3.5
400,56,220,209,247,3.5
401,57,221,211,247,3.5
403,57,220,211,248,3.5
402,55,222,210,248,3.5
403,58,221,212,248,3.5
401,56,222,211,247,3.5
402,60,221,212,248,3.5
401,57,221,212,248,3.5
402,56,220,211,249,3.5
399,55,220,211,249,3.5
401,58,220,210,248,3.5
402,56,222,211,248,3.5
403,57,223,211,249,3.5
403,56,223,211,248,3.5
401,56,222,209,248,3.5
403,58,221,211,250,3.5
404,59,220,210,249,3.5
399,56,220,211,249,3.5
403,57,220,210,249,3.5
403,57,222,208,248,3.5
404,59,220,211,248,3.5
406,59,221,207,248,3.5
403,54,221,210,249,3.5
399,57,221,209,249,3.5
403,56,220,208,248,3.5
400,54,220,208,248,3.5
400,56,220,210,249,3.5
403,56,220,209,248,3.5
403,55,222,209,248,3.5
403,55,221,211,248,3.5
403,56,222,209,249,3.5
402,56,221,210,249,3.5
399,55,221,208,249,3.5
399,55,220,208,248,3.5
401,54,221,208,249,3.5
400,54,219,210,248,3.5
402,53,221,209,248,3.5
400,58,219,210,248,3.5
400,56,220,209,248,3.5
405,57,220,211,249,3.5
401,56,221,211,248,3.5
403,55,222,212,248,3.5
402,58,220,208,247,3.5
397,57,220,211,248,3.5
401,54,220,210,247,3.5
402,54,220,208,248,3.5
402,56,221,210,247,3.5
403,57,222,212,248,3.5
401,56,221,208,247,3.5
400,57,221,208,248,3.5
401,56,219,207,248,3.5
399,54,220,207,248,3.5
402,52,220,207,247,3.5
402,56,220,158,248,3.5
405,57,222,159,248,3.5
400,57,221,160,247,3.5
400,56,220,161,250,3.5
401,55,220,161,249,3.5
399,55,218,161,249,3.5
400,55,220,162,248,3.5
402,56,219,215,248,3.5
403,56,220,215,248,3.5
400,55,221,215,248,3.5
404,54,220,214,250,3.5
403,55,220,214,247,3.5
402,55,220,213,247,3.5
400,56,221,213,248,3.5
400,55,219,212,248,3.5
404,56,218,207,249,3.5
400,55,219,215,249,3.5
401,57,219,216,248,3.5
404,55,218,216,247,3.5
404,55,220,216,248,3.5
404,56,220,216,248,3.5
402,57,220,217,248,3.5
403,56,220,216,249,3.5
401,55,220,216,248,3.5
401,55,219,215,248,3.5
401,56,219,217,248,3.5
403,55,219,216,248,3.5
403,57,220,216,247,3.5
403,56,221,216,248,3.5
401,56,219,216,248,3.5
403,56,220,217,249,3.5
400,54,220,215,248,3.5
400,56,219,216,248,3.5
403,55,218,216,248,3.5
400,54,218,216,249,3.5
403,56,219,215,247,3.5
404,54,219,214,248,3.5
403,57,219,215,247,3.5
404,56,219,215,248,3.5
403,55,220,214,249,3.5
403,56,219,215,248,3.5
399,55,218,214,248,3.5
400,56,218,214,248,3.5
403,54,217,213,248,3.5
400,55,219,214,249,3.5
401,55,219,212,247,3.5
403,56,218,211,249,3.5
403,56,219,213,248,3.5
404,54,219,214,249,3.5
402,55,218,213,248,3.5
402,55,219,214,249,3.5
402,55,217,213,248,3.5
402,55,219,213,249,3.5
403,55,219,211,250,3.5
403,56,219,211,248,3.5
402,57,220,214,249,3.5
400,56,219,214,248,3.5
399,57,219,212,247,3.5
401,55,217,212,248,3.5
402,56,219,211,247,3.5
403,56,219,212,249,3.5
402,56,219,212,247,3.5
399,56,219,210,248,3.5
403,55,219,210,248,3.5
401,55,218,212,247,3.5
402,57,217,209,248,3.5
403,56,218,207,248,3.5
400,56,218,213,249,3.5
404,56,218,210,248,3.5
401,57,218,211,247,3.5
403,54,218,210,248,3.5
399,54,217,211,248,3.5
402,55,218,211,249,3.5
400,56,217,211,248,3.5
402,56,218,211,247,3.5
402,55,217,211,248,3.5
403,56,218,208,248,3.5
402,56,219,216,249,3.5
401,55,219,214,248,3.5
401,54,216,213,249,3.5
402,58,217,213,247,3.5
398,56,216,213,248,3.5
403,56,216,211,248,3.5
403,54,218,209,247,3.5
403,56,218,209,248,3.5
403,59,217,209,248,3.5
401,56,218,204,249,3.5
401,56,216,207,248,3.5
399,56,217,207,248,3.5
401,55,216,206,249,3.5
402,55,216,211,249,3.5
403,54,217,209,249,3.5
402,56,216,207,248,3.5
406,57,217,212,249,3.5
402,56,218,212,249,3.5
400,56,217,209,246,3.5
402,54,216,208,249,3.5
401,52,216,201,248,3.5
403,55,216,206,248,3.5
403,54,217,205,249,3.5
403,55,216,207,247,3.5
403,56,218,208,249,3.5
405,55,218,207,250,3.5
399,55,217,208,247,3.5
403,54,216,208,248,3.5
403,55,215,207,249,3.5
402,53,216,206,249,3.5
403,56,217,207,248,3.5
402,54,218,207,248,3.5
403,57,217,205,249,3.5
403,57,218,205,249,3.5
401,55,219,208,249,3.5
403,55,219,209,249,3.5
400,56,217,209,248,3.5
